184	1	138	8 1 0
22	39	14	33	22	20	39	38	35	33	23	42	25	12	16	37	18	17	9	24	32	31	41	36	28	35	3	11	26	16	31	24	42	34	17	39	39	22	23	20	9	20	22	13	11	19	0	4	10	24	43	36	20	28	2	15	23	16	14	35	32	26	32	21	4	21	21	33	19	18	28	21	23	26	17	29	7	30	43	39	40	28	27	22	19	17	8	14	43	32	13	24	13	13	11	30	41	9	27	29	18	38	32	39	35	24	8	21	39	30	40	19	20	4	17	23	18	31	10	32	35	25	21	15	7	22	30	19	18	36	7	43	30	13	9	13	11	20
28	52	24	46	32	26	45	39	47	44	33	43	31	22	26	42	15	14	15	34	43	37	51	47	38	41	9	7	32	26	44	29	53	40	29	50	40	34	40	33	6	30	32	23	17	29	4	0	7	30	44	41	26	41	7	25	28	22	20	46	38	37	42	31	10	26	27	46	25	24	34	31	29	32	28	40	13	35	53	50	46	38	37	28	25	23	3	24	54	38	19	34	19	19	17	40	42	15	33	39	28	43	47	46	45	30	10	31	47	40	46	29	30	10	27	33	24	37	20	38	47	36	35	25	14	28	36	25	24	47	9	44	42	24	6	10	8	26
31	47	19	41	27	27	45	34	42	39	28	38	33	17	21	36	9	9	15	30	38	37	46	42	34	41	10	2	32	21	39	35	48	40	24	45	35	29	35	27	3	25	27	18	18	24	10	7	0	31	39	35	27	36	7	20	29	23	21	41	41	32	37	26	11	27	27	41	25	27	34	26	30	34	22	35	18	39	47	44	45	34	33	27	25	24	5	19	49	42	23	30	20	22	17	36	37	15	33	34	23	38	41	41	41	31	14	26	42	31	46	24	25	10	22	28	24	37	15	39	43	31	30	20	17	28	40	25	19	42	13	38	37	18	3	5	3	29
19	37	37	31	34	6	37	35	20	28	25	38	20	33	40	34	38	37	20	23	27	28	37	23	23	32	24	31	20	39	28	17	37	31	29	26	35	32	34	29	30	36	28	34	14	31	24	30	31	0	40	32	13	20	25	38	11	14	13	30	9	19	28	28	25	13	25	18	12	21	10	35	3	20	41	22	25	14	40	34	37	22	26	15	8	8	28	37	30	10	22	23	17	20	22	29	38	20	4	23	36	35	14	35	32	14	29	37	36	28	37	23	37	22	39	27	22	28	31	9	32	18	22	26	25	12	13	16	42	21	28	39	17	36	30	34	32	18
22	19	17	19	10	34	10	6	32	20	22	3	23	21	17	8	34	42	24	18	20	20	8	32	19	13	40	38	21	15	28	25	17	12	16	24	6	11	9	15	42	12	17	20	33	18	43	44	39	40	0	8	28	25	42	17	29	30	36	19	31	22	16	21	40	27	23	31	28	26	32	11	39	24	17	25	36	29	14	16	11	20	17	24	36	39	42	17	24	32	22	20	31	29	23	13	3	24	37	23	13	7	31	5	7	30	37	11	6	13	6	25	13	41	15	18	27	14	22	33	19	22	23	20	34	27	29	24	21	32	37	2	26	19	43	41	40	25
15	21	9	18	2	27	12	3	25	16	16	7	16	13	9	2	31	35	16	12	20	12	14	25	12	7	20	37	13	7	21	18	19	11	8	28	3	3	2	7	22	4	9	12	26	10	36	41	35	32	8	0	21	19	21	9	22	23	29	17	24	15	13	14	19	20	17	24	20	19	25	3	32	16	9	18	18	22	16	17	13	13	7	17	30	32	38	9	32	25	14	14	24	22	15	7	7	16	29	16	5	4	25	7	7	22	16	5	7	5	12	19	5	34	7	11	20	8	14	27	19	15	16	12	17	20	23	18	11	25	16	8	20	11	22	20	22	18
8	23	21	17	23	8	24	23	16	14	11	26	7	20	24	22	28	29	16	10	13	16	26	18	12	20	20	27	9	23	15	6	24	19	13	21	24	20	23	17	26	24	13	21	10	16	20	26	27	13	28	21	0	12	21	22	3	4	10	17	13	8	17	12	21	2	9	15	3	9	6	22	10	8	25	9	22	8	22	20	25	12	14	4	10	10	24	21	25	10	14	10	10	12	15	17	26	16	13	12	24	23	15	24	20	6	24	25	24	17	25	12	26	18	24	15	6	16	24	16	19	7	10	17	20	2	12	4	25	18	24	28	12	20	26	27	28	7
8	14	21	8	21	18	22	21	8	5	10	25	6	21	25	20	29	30	21	9	4	7	24	6	10	18	28	32	7	24	5	11	14	17	16	8	22	18	21	15	30	22	15	22	18	18	28	41	36	20	25	19	12	0	29	23	13	14	20	7	12	5	15	13	27	11	11	7	14	14	12	19	21	4	26	2	23	14	13	11	17	6	12	9	22	21	39	22	13	13	18	9	16	17	20	15	24	21	17	4	22	21	7	21	18	9	25	22	22	15	23	12	23	26	25	13	14	14	24	14	9	6	8	19	22	11	8	10	26	8	25	26	3	21	30	28	30	11
23	40	12	34	20	21	38	34	35	32	21	40	26	10	14	35	15	14	9	23	31	30	39	35	27	34	2	8	25	14	32	24	41	33	17	38	37	22	21	20	6	18	20	11	12	17	2	7	7	25	42	21	21	29	0	13	23	17	15	34	33	25	30	19	2	21	20	34	19	18	28	19	24	27	15	28	6	30	40	37	38	27	26	21	19	18	4	12	42	34	13	23	14	16	12	29	40	9	27	27	16	37	34	37	34	25	6	19	38	24	39	17	18	4	15	21	18	30	8	33	36	24	23	13	8	23	31	19	16	35	5	41	30	11	6	8	6	21
18	34	2	28	8	31	21	12	29	26	15	16	20	7	3	11	13	14	13	16	25	25	23	30	20	13	12	17	19	3	26	23	36	18	8	33	12	10	9	8	14	6	9	5	25	7	15	25	20	38	17	9	22	23	13	0	26	22	27	29	29	20	24	14	11	21	15	29	22	15	30	7	33	22	3	23	10	27	25	24	22	20	12	19	32	30	23	3	37	30	10	16	22	13	11	13	16	13	34	21	4	13	29	16	13	27	8	7	16	11	21	11	6	15	2	10	18	15	6	31	30	18	17	7	9	23	27	18	4	30	9	17	24	4	14	12	14	16
9	24	24	18	24	6	26	24	17	15	12	27	8	24	27	23	32	30	18	11	14	17	27	19	13	21	22	29	10	26	16	7	25	20	15	22	25	21	24	18	28	25	14	24	12	17	23	28	29	11	29	22	3	13	23	26	0	7	12	18	9	9	18	13	23	3	10	16	4	11	3	24	9	10	29	12	25	5	23	21	26	13	15	5	9	12	26	24	26	7	14	11	12	13	16	18	27	18	13	13	26	25	13	25	21	3	26	26	25	18	26	15	26	20	25	16	8	17	27	11	20	8	11	21	24	2	7	6	29	20	27	29	13	24	28	30	30	8
7	25	20	19	22	10	26	25	18	16	10	26	9	20	23	21	28	29	12	12	15	18	25	20	14	22	16	23	11	23	17	8	25	21	13	23	23	22	25	15	22	24	12	21	6	15	16	22	23	14	30	23	4	14	17	22	7	0	5	19	15	10	16	12	17	5	8	17	3	9	10	24	13	10	25	11	16	14	28	22	27	14	13	6	9	7	20	20	27	17	13	12	9	11	14	16	28	12	17	14	24	25	17	26	20	9	20	27	26	16	27	11	28	14	23	17	6	18	23	18	21	9	7	17	20	6	14	4	25	20	24	27	14	20	22	27	24	7
13	31	26	25	31	9	32	31	24	22	17	35	15	22	29	31	28	27	10	18	21	24	34	26	20	28	13	21	17	28	23	13	31	28	19	29	32	28	31	21	20	33	15	23	3	18	14	20	21	13	36	29	10	20	15	27	12	5	0	24	20	16	25	17	14	10	15	23	7	11	16	30	12	16	30	17	14	20	37	28	33	20	21	12	7	4	18	26	33	21	11	18	6	8	12	24	34	10	15	20	29	31	23	32	29	14	18	33	32	23	33	12	34	12	29	19	11	24	21	20	27	16	13	15	15	12	20	10	30	26	18	36	20	25	20	24	21	14
12	8	26	2	19	23	12	19	10	4	15	18	11	26	30	18	33	34	26	14	5	8	13	7	10	11	33	37	11	28	3	15	7	9	21	6	20	16	19	18	35	20	20	27	23	23	35	46	41	30	19	17	17	7	34	29	18	19	24	0	21	10	8	18	32	15	16	11	19	19	23	17	25	11	23	8	27	20	6	4	10	9	14	14	25	26	44	26	7	23	22	15	20	21	25	12	18	26	27	8	19	16	11	16	13	20	29	21	14	17	13	18	21	31	29	15	19	10	29	24	3	11	13	24	27	16	14	15	31	10	29	20	10	26	35	32	35	15
12	28	27	22	25	11	28	26	11	19	17	29	11	27	30	25	34	35	28	15	18	19	28	14	16	23	31	38	13	29	20	9	28	23	21	17	27	24	26	20	35	27	20	27	21	23	32	38	41	9	31	24	13	12	33	29	9	15	20	21	0	12	20	18	32	13	16	9	15	20	8	26	8	12	32	13	28	5	31	25	28	16	17	10	16	16	36	27	21	2	22	15	18	21	25	20	29	28	6	18	28	26	6	27	23	6	29	28	27	20	28	18	28	30	30	18	14	19	30	3	23	12	14	24	27	11	5	12	32	12	30	31	9	26	35	33	35	16
3	16	18	10	16	14	18	17	12	8	7	20	4	18	21	16	25	26	18	6	7	10	19	12	4	14	24	29	2	20	8	6	17	13	12	14	18	14	17	12	26	18	12	18	15	15	26	37	32	19	22	15	8	5	25	20	9	10	16	10	12	0	11	9	24	7	7	10	10	11	14	16	17	4	23	4	19	11	14	14	19	4	8	5	19	17	35	18	18	13	15	6	12	13	16	11	20	17	18	4	18	17	11	18	14	11	22	19	18	11	19	9	20	24	21	9	10	10	21	15	12	2	4	15	18	7	11	6	23	11	21	22	8	18	26	24	26	6
10	14	22	9	15	23	10	15	20	7	11	15	12	22	26	14	30	31	22	7	6	2	12	21	3	6	29	33	9	18	9	14	14	6	11	13	16	12	15	9	31	16	10	23	22	13	32	42	37	28	16	13	17	15	30	24	18	16	25	8	20	11	0	9	28	15	12	20	16	15	21	14	27	12	20	14	24	18	14	11	11	4	6	12	24	28	40	23	14	21	19	9	19	18	21	7	18	22	25	6	16	15	20	12	8	18	26	17	10	9	11	13	18	30	18	7	15	5	25	22	10	10	11	20	23	15	18	13	27	20	26	16	15	22	31	29	31	13
8	24	12	18	15	18	17	16	19	15	3	19	10	12	15	14	19	20	11	4	15	9	18	19	8	13	18	22	6	14	16	12	20	12	3	22	16	9	15	5	20	13	2	12	14	5	21	31	26	28	21	14	12	13	19	14	13	12	17	18	18	9	9	0	17	10	4	18	11	6	19	10	21	10	16	12	13	16	21	18	17	8	5	9	22	20	29	12	26	20	7	4	11	6	10	8	19	11	23	9	10	16	19	16	13	16	14	17	17	6	18	2	19	21	15	3	8	8	15	21	20	8	7	9	12	13	17	8	16	19	15	20	14	12	20	18	20	6
22	38	10	32	18	21	36	32	33	30	19	38	24	8	12	33	10	11	9	20	29	28	37	33	24	32	1	11	23	12	30	26	39	31	15	36	35	20	19	19	8	16	18	9	12	15	4	10	11	25	40	19	21	27	2	11	23	17	14	32	32	24	28	17	0	21	19	32	19	18	28	17	24	25	14	26	4	31	39	36	37	24	23	23	19	18	8	10	40	34	11	20	14	10	7	26	38	9	27	25	14	35	33	36	32	31	4	17	36	26	37	15	16	4	13	20	18	28	6	32	34	22	21	11	4	22	31	19	14	33	3	39	28	10	8	9	8	20
5	22	19	16	21	8	24	22	15	13	7	25	4	19	23	21	27	28	16	9	12	15	24	17	11	19	20	27	8	22	13	5	22	18	12	20	22	19	22	16	27	23	11	20	10	14	21	26	27	13	27	20	2	11	21	21	3	5	10	15	13	7	15	10	21	0	8	14	5	8	7	22	11	8	24	9	20	10	20	19	24	10	13	2	11	12	24	20	24	14	11	9	9	10	14	16	25	16	15	11	24	22	13	23	19	5	22	24	23	16	24	10	24	18	23	14	5	15	22	15	17	6	5	16	19	3	11	3	24	17	22	27	11	19	27	25	28	5
6	23	13	17	18	15	20	19	18	14	2	22	8	13	16	17	20	21	11	5	13	12	21	17	9	16	20	24	6	15	14	10	23	15	5	20	19	16	19	8	21	20	5	14	11	8	21	27	27	25	23	17	9	11	20	15	10	8	15	16	16	7	12	4	19	8	0	16	9	4	17	17	18	9	18	10	14	15	24	20	20	8	8	7	19	17	25	13	24	17	9	5	9	7	10	11	22	11	22	9	16	19	16	19	16	15	17	20	19	10	21	4	21	19	16	6	4	12	16	18	18	7	5	10	13	10	15	5	18	17	16	23	12	13	21	19	21	2
12	15	27	10	25	21	27	26	2	9	15	29	8	27	30	25	34	35	26	15	8	19	28	6	15	23	33	38	12	29	9	9	16	23	21	8	27	23	26	20	35	27	21	27	24	24	33	46	41	18	31	24	15	7	34	29	16	17	23	11	9	10	20	18	32	14	16	0	17	20	12	25	17	7	32	8	28	9	16	14	20	14	17	12	23	24	44	27	13	11	24	15	21	22	25	20	29	26	15	10	27	26	3	27	23	9	31	28	27	20	28	18	29	31	30	18	19	19	30	12	11	12	13	24	27	13	7	15	32	4	30	31	4	27	35	33	35	15
7	25	20	19	22	7	24	23	18	17	11	26	9	20	23	21	28	29	14	12	16	16	25	19	14	20	17	25	11	23	17	8	26	21	13	22	23	22	22	15	24	24	12	20	8	15	19	25	25	12	28	20	3	14	19	22	4	3	7	19	15	10	16	11	19	5	9	17	0	9	7	22	9	10	25	12	21	14	28	23	25	14	14	6	7	7	22	21	26	17	12	12	10	11	15	17	26	14	14	14	24	23	16	23	20	9	22	25	26	16	25	11	25	16	23	15	6	16	23	18	21	10	7	17	20	6	14	4	25	20	23	27	14	20	24	26	26	7
9	25	13	19	21	16	23	22	20	17	6	25	11	13	16	20	21	21	8	7	16	15	24	20	11	19	17	24	10	15	17	14	26	18	7	23	22	19	21	10	21	23	6	13	8	9	18	24	27	21	26	19	9	14	18	15	11	9	11	19	20	11	15	6	18	8	4	20	9	0	14	21	20	12	18	13	9	18	26	22	23	11	10	7	16	14	21	13	27	21	4	7	9	3	7	13	25	8	23	12	17	22	20	22	19	12	15	24	22	13	23	4	19	13	16	8	4	15	16	22	21	9	8	6	10	10	18	5	18	20	16	26	15	13	21	19	21	4
14	29	28	23	27	5	29	28	13	21	18	31	12	28	31	26	36	37	23	16	20	20	30	24	18	25	26	34	13	31	21	10	30	24	22	27	28	25	27	22	36	28	22	28	17	25	28	34	34	10	32	25	6	12	28	30	3	10	16	23	8	14	21	19	28	7	17	12	7	14	0	27	8	13	33	14	29	5	32	26	29	17	18	8	8	12	31	28	31	4	17	16	15	16	20	21	31	23	9	19	29	28	13	28	24	4	30	29	28	21	29	19	29	25	31	19	11	21	31	9	25	13	15	25	28	5	7	10	33	15	31	32	11	28	36	34	36	11
16	24	7	18	4	29	15	6	26	16	16	10	17	11	8	5	19	19	15	12	22	14	17	27	13	7	18	22	15	6	22	20	20	12	7	30	6	2	4	6	19	4	8	10	28	8	21	31	26	35	11	3	22	19	19	7	24	24	30	17	26	16	14	10	17	22	17	25	22	21	27	0	34	18	8	20	16	23	19	18	16	14	9	18	30	33	28	7	23	26	12	14	26	15	13	7	9	15	31	17	3	7	25	10	7	24	14	6	10	4	15	10	5	21	6	8	21	9	12	27	19	16	17	12	15	21	23	18	10	27	14	11	20	9	20	18	20	19
16	32	32	26	33	3	36	34	19	23	19	37	15	31	35	33	37	36	19	19	22	27	36	22	20	31	23	30	17	34	23	17	32	31	22	25	34	31	34	28	29	35	22	32	13	25	23	29	30	3	39	32	10	21	24	33	9	13	12	25	8	17	27	21	24	11	18	17	9	20	8	34	0	20	36	21	24	13	39	29	36	20	25	12	7	7	27	32	29	9	21	19	16	19	21	28	37	19	3	20	36	34	13	35	31	14	28	36	35	28	36	22	36	21	38	26	15	27	30	8	27	16	18	25	24	10	12	14	37	20	27	39	17	31	29	33	31	15
4	17	20	11	18	14	20	19	7	9	9	22	2	19	23	17	27	28	19	7	8	12	21	11	9	16	26	30	5	22	9	6	18	15	14	14	19	16	18	13	28	20	13	20	16	16	26	32	34	20	24	16	8	4	27	22	10	10	16	11	12	4	12	10	25	8	9	7	10	12	13	18	20	0	24	2	21	9	17	14	21	9	10	5	17	17	30	20	18	13	15	7	14	14	17	13	22	19	17	8	20	19	7	19	16	10	22	21	19	12	21	10	21	25	22	11	12	12	22	14	13	4	6	17	19	7	10	8	25	9	22	23	3	19	28	26	28	8
21	37	5	24	7	34	21	12	33	29	18	15	23	9	3	11	15	16	16	19	28	21	22	32	19	13	15	19	22	2	29	26	26	18	11	35	13	10	9	11	16	5	12	7	28	10	17	28	22	41	17	9	25	26	15	3	29	25	30	23	32	23	20	16	14	24	18	32	25	18	33	8	36	24	0	26	12	30	24	24	21	23	14	23	35	33	25	6	40	33	13	20	25	16	15	13	15	16	37	24	7	12	32	15	13	30	11	5	16	12	21	14	4	18	2	13	21	15	9	34	33	21	20	10	11	26	30	21	3	33	11	17	27	6	16	14	17	19
6	15	21	9	20	15	22	20	11	6	9	23	3	21	24	19	28	28	20	9	5	13	23	11	8	17	26	31	5	23	6	7	15	16	15	14	21	16	20	14	29	21	14	21	17	17	29	40	35	22	25	18	9	2	28	23	12	11	17	8	13	4	14	12	26	9	10	8	12	13	14	20	21	2	26	0	22	11	15	12	22	8	11	7	18	19	38	21	14	14	16	9	14	15	19	14	23	20	19	5	22	20	9	21	17	11	23	22	20	14	22	12	22	25	23	12	13	13	24	15	10	5	8	18	21	8	11	9	26	11	23	25	5	20	29	27	29	9
18	34	10	28	16	20	32	30	29	25	15	34	20	4	11	29	11	12	5	16	25	24	33	29	20	28	4	15	19	11	25	22	35	27	10	32	31	13	19	13	10	15	14	5	12	11	7	13	18	25	36	18	22	23	6	10	25	16	14	27	28	19	24	13	4	20	14	28	21	9	29	16	24	21	12	22	0	26	35	31	32	19	19	19	19	17	11	7	36	30	6	16	12	6	3	22	34	5	27	21	13	31	29	31	27	27	6	16	32	22	33	11	15	5	12	15	18	24	7	31	29	18	17	5	1	23	27	18	12	29	5	35	24	5	10	10	10	16
10	26	25	20	23	11	25	24	10	17	13	27	9	25	28	22	32	33	25	13	16	17	26	21	14	21	29	36	11	27	18	7	27	20	19	24	24	21	24	19	33	25	19	25	19	22	30	35	39	14	29	22	8	14	30	27	5	14	20	20	5	11	18	16	31	10	15	9	14	18	5	23	13	9	30	11	26	0	28	23	26	14	15	9	19	20	33	25	28	2	22	13	16	20	23	18	27	25	11	16	25	24	6	25	21	2	29	26	25	17	26	16	27	27	28	16	12	17	28	7	22	10	12	22	25	6	3	10	30	12	28	28	8	25	33	31	33	13
20	6	34	7	18	28	7	15	14	10	23	13	23	34	25	14	41	42	34	18	12	10	7	11	12	13	40	45	13	22	9	25	4	7	21	10	15	18	17	21	41	19	21	34	33	24	43	53	47	40	14	16	22	13	40	25	23	28	37	6	31	14	14	21	39	20	24	16	28	26	32	19	39	17	24	15	35	28	0	3	5	11	17	23	36	38	51	34	11	32	31	20	31	29	32	14	13	34	37	12	21	13	18	10	13	30	38	20	9	19	8	25	20	41	23	18	25	13	37	33	5	15	23	30	33	25	20	24	26	14	37	15	16	34	41	40	42	23
16	6	30	4	19	26	8	16	12	7	19	15	15	30	25	16	37	38	29	16	9	10	9	9	11	11	36	41	12	22	7	19	3	7	19	8	17	16	19	18	38	20	19	30	27	22	39	50	44	34	16	17	20	11	37	24	21	22	28	4	25	14	11	18	36	19	20	14	23	22	26	18	29	14	24	12	31	23	3	0	7	11	15	18	29	30	47	30	8	27	26	17	24	25	28	12	15	30	31	11	19	14	15	12	13	24	33	21	10	17	9	21	21	34	22	16	23	10	33	28	4	15	17	28	30	19	18	19	35	12	33	16	14	30	39	36	39	19
19	10	31	10	15	31	3	12	18	11	19	10	20	31	22	11	38	39	31	15	13	12	4	15	13	10	37	42	18	19	13	22	8	7	19	14	12	15	13	18	39	16	18	31	30	21	40	46	45	37	11	13	25	17	38	22	26	27	33	10	28	19	11	17	37	24	20	20	25	23	29	16	36	21	21	22	32	26	5	7	0	14	14	21	33	36	43	31	14	29	27	17	28	26	29	12	10	31	34	15	18	10	21	7	10	27	34	17	6	17	4	22	17	38	20	15	24	10	34	30	10	19	20	29	31	24	26	21	23	18	34	11	23	31	40	37	40	22
6	16	18	10	15	18	14	15	15	7	7	19	7	18	23	14	25	26	18	3	5	3	15	16	1	9	25	29	3	20	9	10	13	9	10	18	16	12	15	8	28	16	12	19	18	15	28	38	34	22	20	13	12	6	27	20	13	14	20	9	16	4	4	8	24	10	8	14	14	11	17	14	20	9	23	8	19	14	11	11	14	0	6	9	22	21	35	18	15	17	15	4	15	13	17	7	18	18	22	3	16	15	15	15	12	14	22	17	13	9	14	9	18	25	21	6	10	6	21	18	12	5	8	17	20	10	15	8	23	15	22	20	11	18	28	24	26	10
8	23	11	15	12	20	14	13	18	15	7	16	9	18	13	11	25	26	17	3	14	6	15	18	5	10	24	29	7	13	14	11	17	9	6	21	13	7	13	4	27	10	5	18	17	8	27	37	33	26	17	7	14	12	26	12	15	13	21	14	17	8	6	5	23	13	8	17	14	10	18	9	25	10	14	11	19	15	17	15	14	6	0	10	25	23	35	18	25	18	15	4	15	13	16	4	16	17	23	9	9	13	17	13	10	15	22	14	13	4	15	9	11	25	13	2	11	4	21	19	18	8	6	16	19	13	16	11	15	18	21	17	13	18	27	24	26	9
3	20	18	14	18	10	20	19	16	12	6	22	3	18	21	18	25	26	17	6	11	12	21	16	9	16	21	29	6	20	12	3	21	15	11	19	19	16	19	13	26	20	11	18	11	14	22	28	27	15	24	17	4	9	21	19	5	6	12	14	10	5	12	9	23	2	7	12	6	7	8	18	12	5	23	7	19	9	23	18	21	9	10	0	14	13	26	18	23	11	11	6	8	10	13	13	22	17	16	9	20	19	10	20	16	5	22	21	20	13	21	9	22	20	21	11	4	12	21	13	16	3	4	15	18	2	9	2	23	15	21	23	9	18	26	24	26	4
15	33	31	27	30	3	33	32	25	23	21	34	17	27	34	30	33	32	15	22	22	24	33	27	22	28	18	26	17	33	25	14	32	28	23	29	31	29	31	25	24	32	20	28	9	23	19	25	25	8	36	30	10	22	19	32	9	9	7	25	16	19	24	22	19	11	19	23	7	16	8	30	7	17	35	18	19	19	36	29	33	22	25	14	0	2	23	31	34	17	16	22	11	13	17	28	35	15	10	22	34	32	21	32	28	11	23	33	32	28	33	17	34	17	34	24	15	25	26	16	29	18	15	19	19	12	21	12	35	26	23	35	22	30	24	29	26	18
14	32	29	26	29	4	35	34	26	24	19	33	17	25	33	29	31	30	13	20	23	27	32	27	25	31	16	24	18	31	24	15	33	31	22	30	30	31	34	24	23	31	18	26	7	21	17	23	24	8	39	32	10	21	18	30	12	7	4	26	16	17	28	20	18	12	17	24	7	14	12	33	7	17	33	19	17	20	38	30	36	21	23	13	2	0	21	29	34	17	14	20	10	12	15	27	37	13	11	21	32	34	21	35	27	15	21	36	35	27	36	15	37	15	32	22	14	27	24	16	28	17	14	18	18	13	22	11	34	27	21	34	21	28	23	27	25	17
25	50	22	44	30	24	43	37	45	41	31	40	28	19	24	39	12	11	12	32	40	35	49	45	36	38	7	5	29	24	41	27	50	38	27	48	37	32	38	31	4	28	30	21	15	27	8	3	5	28	42	38	24	39	4	23	26	20	18	44	36	35	40	29	8	24	25	44	22	21	31	28	27	30	25	38	11	33	51	47	43	35	35	26	23	21	0	22	52	36	16	32	17	17	15	38	40	12	30	37	25	41	45	44	43	28	7	29	44	38	43	27	28	7	25	31	21	35	18	35	45	34	33	23	11	26	34	23	22	45	7	42	40	21	4	8	6	24
16	33	1	27	9	29	21	12	28	24	14	16	19	4	4	11	12	13	11	15	24	23	32	28	19	13	11	15	18	3	24	21	34	26	6	31	13	10	10	8	13	7	7	3	23	5	14	24	19	37	17	9	21	22	12	3	24	20	26	26	27	18	23	12	10	20	13	27	21	13	28	7	32	20	6	21	7	25	34	30	31	18	18	18	31	29	22	0	35	29	9	15	21	11	10	13	16	11	33	20	4	13	28	16	13	26	7	8	16	11	21	10	7	14	4	10	16	23	5	30	28	17	16	6	6	22	26	17	6	28	7	17	23	2	13	11	13	14
20	5	35	6	34	31	16	24	11	10	23	22	21	35	38	33	42	43	34	23	11	14	16	8	16	17	41	45	20	37	9	24	7	14	29	5	24	22	34	28	43	35	28	35	31	31	43	54	49	30	24	32	25	13	42	37	26	27	33	7	21	18	14	26	40	24	24	13	26	27	31	23	29	18	40	14	36	28	11	8	14	15	25	23	34	34	52	35	0	22	30	23	29	29	33	18	22	34	27	14	25	22	16	20	19	28	37	36	18	28	17	26	36	39	38	26	27	16	38	23	5	20	22	32	35	24	19	23	40	9	37	24	15	34	43	41	43	23
14	29	28	23	27	13	29	28	12	21	18	30	12	28	31	26	36	37	28	16	20	20	30	15	17	24	32	39	14	31	21	10	30	24	22	18	28	25	27	21	36	28	22	29	22	25	32	38	42	10	32	25	10	13	34	30	7	17	21	23	2	13	21	20	34	14	17	11	17	21	4	26	9	13	33	14	30	2	32	27	29	17	18	11	17	17	36	29	22	0	25	16	20	23	27	21	31	28	7	19	28	28	7	28	24	4	32	29	28	21	29	19	30	30	31	19	15	21	31	4	24	13	15	25	28	8	7	13	33	13	32	32	10	28	36	35	37	17
13	29	9	23	16	17	26	17	25	20	11	20	16	9	12	16	16	17	4	12	19	18	28	23	16	22	12	20	13	11	21	16	29	21	6	26	17	11	16	9	17	15	7	9	8	6	13	19	23	22	22	14	14	18	13	10	14	13	11	22	22	15	19	7	11	11	9	24	12	4	17	12	21	15	13	16	6	22	31	26	27	15	15	11	16	14	16	9	30	25	0	12	8	2	3	18	20	4	24	17	12	17	24	20	16	21	11	16	26	12	27	6	15	9	12	9	8	18	12	26	25	14	12	3	6	15	22	10	14	23	11	21	19	8	17	15	17	8
4	20	15	14	15	16	17	16	16	12	4	18	6	15	19	14	22	23	14	1	11	8	18	16	5	12	21	26	3	17	12	9	20	12	10	19	16	13	15	7	24	16	8	15	14	11	24	34	30	23	20	14	10	9	23	16	11	12	18	15	15	6	9	4	20	9	5	15	12	7	16	14	19	7	20	9	16	13	20	17	17	4	4	6	22	20	32	15	23	16	12	0	12	10	13	7	19	14	20	6	16	16	15	16	12	13	19	17	16	7	17	6	18	22	18	4	8	9	18	17	16	5	3	13	16	11	13	8	20	15	18	20	10	15	24	21	23	6
9	27	20	21	25	15	28	26	22	18	11	29	10	20	23	25	27	27	9	12	17	19	28	22	16	23	13	20	14	23	18	11	27	22	13	25	26	23	25	15	19	27	12	20	4	15	13	19	20	17	31	24	10	16	14	22	12	9	6	20	18	12	19	11	14	9	9	21	10	9	15	26	16	14	25	14	12	16	31	24	28	15	15	8	11	10	17	21	29	20	8	12	0	5	9	18	29	9	18	17	24	26	22	26	23	13	17	28	27	17	28	11	28	12	23	13	5	19	23	24	22	10	9	17	20	11	17	7	25	22	17	30	17	20	19	23	21	8
11	28	11	22	24	15	25	24	23	19	9	27	14	11	14	23	19	20	5	10	18	17	27	22	14	21	12	20	12	13	19	15	28	21	8	25	25	13	24	11	19	17	7	12	6	8	13	19	22	20	29	22	12	17	16	13	13	11	8	21	21	13	18	6	10	10	7	22	11	3	16	15	19	14	16	15	6	20	29	25	26	13	13	10	13	12	17	11	29	23	2	10	5	0	4	16	27	5	22	15	14	24	22	25	21	20	13	18	25	11	26	4	17	9	14	9	6	17	14	25	23	12	10	6	7	13	20	8	16	22	14	29	18	10	19	18	19	6
15	31	10	25	17	18	29	18	26	22	12	21	17	6	13	17	14	15	2	13	21	21	30	26	17	24	7	18	15	12	22	19	31	24	7	29	18	12	17	10	12	16	8	8	9	7	11	17	17	22	23	15	15	20	12	11	16	14	12	25	25	16	21	10	7	14	10	25	15	7	20	13	21	17	15	19	3	23	32	28	29	17	16	13	17	15	15	10	33	27	3	13	9	4	0	19	21	2	24	18	13	18	26	21	17	23	8	17	28	13	29	8	16	6	13	12	10	21	9	28	26	15	14	4	4	16	24	11	15	26	8	23	21	10	13	13	12	9
14	19	13	13	8	23	11	9	21	11	10	12	12	21	14	8	28	29	21	6	11	6	12	21	6	2	27	32	10	11	14	14	15	7	11	24	9	5	9	6	30	10	9	21	20	13	30	40	36	29	13	7	17	15	29	13	18	16	24	12	20	11	7	8	26	16	11	20	17	13	21	7	28	13	13	14	22	18	14	12	12	7	4	13	28	27	38	13	18	21	18	7	18	16	19	0	12	21	26	12	9	6	20	6	3	19	25	10	7	3	12	12	10	28	11	5	13	2	24	22	14	10	12	19	22	16	19	13	15	21	24	13	18	21	30	27	29	13
